Apa arti dari kata とけい (tokei)?,Jam
Apa arti dari kata さかな (sakana)?,Ikan
Apa arti dari kata ほん (hon)?,Buku
Apa arti dari kata いす (isu)?,Kursi
Apa arti dari kata つくえ (tsukue)?,Meja
Apa arti dari kata はし (hashi)?,Sumpit
Apa arti dari kata かさ (kasa)?,Payung
Apa arti dari kata にく (niku)?,Daging
Apa arti dari kata あめ (ame)?,Hujan
Apa arti dari kata くつ (kutsu)?,Sepatu
Apa fungsi utama dari huruf Katakana dalam bahasa Jepang?,"Untuk menulis kata-kata serapan/asing, seperti nama orang asing, negara, perusahaan, serta untuk penekanan."
Apa arti dari kata アイスクリーム (aisukuriimu)?,Es krim
Apa arti dari kata ラーメン (raamen)?,Ramen
Apa arti dari kata ウイルス (uirusu)?,Virus
Apa arti dari kata エアコン (eakon)?,Air Conditioner (AC)
Apa arti dari kata オンライン (onrain)?,Online
Apa arti dari kata ストレージ (sutoreeji)?,Storage (Penyimpanan)
Apa arti dari kata カーテン (kaaten)?,Tirai (Curtain)
Apa arti dari kata キーワード (kiiwaado)?,Kata Kunci (Keyword)
Apa arti dari kata クライアント (kuraianto)?,Klien
Apa arti dari kata ケーキ (keeki)?,Kue
Apa arti dari kata コメント (komento)?,Komentar
Apa arti dari kata サイレン (sairen)?,Sirene
Apa arti dari kata システム (shisutemu)?,Sistem
Apa arti dari kata イラストレーター (irasutoreetaa)?,Ilustrator
Apa arti dari kata セキュリティ (sekyuriti)?,Keamanan (Security)
Apa arti dari kata ソース (soosu)?,Saus
Apa arti dari kata タクシー (takushii)?,Taksi
Apa arti dari kata チラシ (chirashi)?,Selebaran
Apa arti dari kata ツイッター (tsuittaa)?,Twitter
Apa arti dari kata テキスト (tekisuto)?,Teks (Text)
Apa arti dari kata トイレ (toire)?,Toilet
Apa arti dari kata ナイフ (naifu)?,Pisau (Knife)
Apa arti dari kata テニス (tenisu)?,Tenis
Apa arti dari kata ヌル (nuru)?,Null (nilai kosong dalam pemrograman)
Apa arti dari kata ネクタイ (nekutai)?,Dasi (Necktie)
Apa arti dari kata ノート (nooto)?,Buku Catatan
Apa arti dari kata ハンカチ (hankachi)?,Sapu tangan
Apa arti dari kata ヒーター (hiitaa)?,Pemanas (Heater)
Apa arti dari kata フロントエンド (furontoendo)?,Front-end
Apa arti dari kata ヘリコプター (herikoputaa)?,Helikopter
Apa arti dari kata ホテル (hoteru)?,Hotel
Apa arti dari kata マイク (maiku)?,Mikrofon (Mic)
Apa arti dari kata ミント (minto)?,Mint
Apa arti dari kata ハム (hamu)?,Ham
Apa arti dari kata メール (meeru)?,E-Mail
Apa arti dari kata モデム (modemu)?,Modem
Apa arti dari onomatope キラキラ (kirakira)?,Berkilau
Apa arti dari kata リサイクル (risaikuru)?,Daur ulang (Recycle)
Apa arti dari kata ルーター (ruutaa)?,Router
Apa arti dari kata レストラン (resutoran)?,Restoran
Apa arti dari kata ログアウト (roguauto)?,Log Out (Keluar)
Apa arti dari kata レイヤー (reiyaa)?,Layer (Lapisan)
Apa arti dari kata ユーチューブ (yuuchuubu)?,YouTube
Apa arti dari kata ヨーグルト (yooguruto)?,Yogurt
Apa arti dari kata ワイヤレス (waiyaresu)?,Nirkabel (Wireless)
Apa arti dari kata メンテナンス (mentenansu)?,Perawatan (Maintenance)
Tuliskan karakter Hiragana untuk 'a'.,あ
Tuliskan karakter Hiragana untuk 'i'.,い
Tuliskan karakter Hiragana untuk 'u'.,う
Tuliskan karakter Hiragana untuk 'e'.,え
Tuliskan karakter Hiragana untuk 'o'.,お
Tuliskan karakter Hiragana untuk 'ka'.,か
Tuliskan karakter Hiragana untuk 'ki'.,き
Tuliskan karakter Hiragana untuk 'ku'.,く
Tuliskan karakter Hiragana untuk 'ke'.,け
Tuliskan karakter Hiragana untuk 'ko'.,こ
Tuliskan karakter Hiragana untuk 'sa'.,さ
Tuliskan karakter Hiragana untuk 'shi'.,し
Tuliskan karakter Hiragana untuk 'su'.,す
Tuliskan karakter Hiragana untuk 'se'.,せ
Tuliskan karakter Hiragana untuk 'so'.,そ
Tuliskan karakter Hiragana untuk 'ta'.,た
Tuliskan karakter Hiragana untuk 'chi'.,ち
Tuliskan karakter Hiragana untuk 'tsu'.,つ
Tuliskan karakter Hiragana untuk 'te'.,て
Tuliskan karakter Hiragana untuk 'to'.,と
Tuliskan karakter Hiragana untuk 'na'.,な
Tuliskan karakter Hiragana untuk 'ni'.,に
Tuliskan karakter Hiragana untuk 'nu'.,ぬ
Tuliskan karakter Hiragana untuk 'ne'.,ね
Tuliskan karakter Hiragana untuk 'no'.,の
Tuliskan karakter Hiragana untuk 'ha'.,は
Tuliskan karakter Hiragana untuk 'hi'.,ひ
Tuliskan karakter Hiragana untuk 'fu'.,ふ
Tuliskan karakter Hiragana untuk 'he'.,へ
Tuliskan karakter Hiragana untuk 'ho'.,ほ
Tuliskan karakter Hiragana untuk 'ma'.,ま
Tuliskan karakter Hiragana untuk 'mi'.,み
Tuliskan karakter Hiragana untuk 'mu'.,む
Tuliskan karakter Hiragana untuk 'me'.,め
Tuliskan karakter Hiragana untuk 'mo'.,も
Tuliskan karakter Hiragana untuk konsonan 'n' di akhir suku kata.,ん
